SEP,Brain Type,Partial Run Supported,Partial Run Technology Type,Partial Run Technology Type ID
SLIPredictReport,Mono,False,N/A,N/A
SLIPublishReport,Mono,False,N/A,N/A
hrSpotsPublishReportStrongRefs,Mono,True,hrSpots,10
hrSpotsGetTFLData,Mono,False,hrSpots,10
SLIDSIFReport,Mono,False,N/A,N/A
SFM2_logPrevT0Pyr,Mono,False,N/A,N/A
MODCamerasUpdate,Mono,False,MOD,22
MODDetection_InitFrame,Mono,False,MOD,22
MODDetection_RunSF,Mono,False,MOD,22
pedNNAttention,Mono,True,Pedestrians,15
VD3DDetection_RunSF_CAM0_sync1_attentionPMASyncTasks,Mono,False,N/A,N/A
VD3DDetection_calcSFsignature,Mono,False,N/A,N/A
PMA_GROUP_HIGH_PRIORITY,Mono,False,N/A,N/A
VD3DDetection_RunContour,Mono,False,N/A,N/A
MODDetection_concludeFrame,Mono,False,MOD,22
MEMemUpdateEHorizonGraph,Mono,False,MEMem,11
MEMemPerformEHorizonGarbageCollection,Mono,False,MEMem,11
WM_prepMRM,Mono,False,N/A,N/A
MEMemLocalizationMatchSignals,Mono,False,MEMem,11
MEMemLocalizationFindNewPose,Mono,False,MEMem,11
MEMemLocalizationCorrectPrevPose,Mono,False,MEMem,11
MEMemLocalizationChoosePose,Mono,False,MEMem,11
MEMemLocalizationCorrectDone,Mono,False,MEMem,11
WM_runMRM,Mono,False,N/A,N/A
MEMemSyncTTPAgendas,Mono,False,MEMem,11
MEMemSyncEHAgendas,Mono,False,MEMem,11
MEMemGenerateEHorizonOutput,Mono,False,MEMem,11
MEMemSyncCacheAppAgendas,Mono,False,MEMem,11
MEMemInitFrameReport,Mono,False,MEMem,11
MEMemUpdateFrameReport,Mono,False,MEMem,11
MEMemEndFrameReport,Mono,False,MEMem,11
MEMemDecodeTile,Mono,False,MEMem,11
LC_vclDetectionPrepare,Mono,False,N/A,N/A
LC_vclDetectionUpdate,Mono,False,N/A,N/A
LC_rpDetectionPrepare,Mono,False,N/A,N/A
LC_rpDetectionUpdate,Mono,False,N/A,N/A
LC_roadDetectionPrepare,Mono,False,road,12
LC_roadDetectionUpdate,Mono,False,road,12
LC_pedsDetectionPrepare,Mono,False,N/A,N/A
HPP_MAIN_processFrame,Mono,False,N/A,N/A
roadCorrectT0,Mono,False,road,12
roadUpdateNets_T0,Mono,False,road,12
roadFaPostCorrectT0,Mono,False,road,12
roadStoreFastForSlow,Mono,False,road,12
vclSaveNNPredicted,Mono,False,N/A,N/A
TSRMFStoreRoadT0Model,Mono,True,TSR,0
EgoMotion_patchTracking,Mono,False,N/A,N/A
EgoMotion_eval_PitchYaw,Mono,False,N/A,N/A
updateEgoMotionResults,Mono,False,N/A,N/A
vclCliquesPredictDropPoints,Mono,False,N/A,N/A
updateVehicleInformationTrackFrameMsg,Mono,False,N/A,N/A
prepareGridTracking,Mono,True,Pedestrians,15
afterGridTracking,Mono,False,N/A,N/A
findPanicCandidates,Mono,True,Pedestrians,15
panicNNClassifier,Mono,True,Pedestrians,15
panicFinScoreAndApprove,Mono,True,Pedestrians,15
egoKalmanCorrect,Mono,False,N/A,N/A
vclCamerasUpdateEM,Mono,False,N/A,N/A
updateDriverActivity_VCL_T0,Mono,False,N/A,N/A
updateDriverActivity_VCL_T0,Mono,False,N/A,N/A
coordinatorUpdate,Mono,False,N/A,N/A
vclSingleFrameNight,Mono,False,N/A,N/A
vclSingleFrameDay,Mono,False,N/A,N/A
vclCliquesPredictKalman,Mono,False,N/A,N/A
vclCliquesUpdatePredictionData,Mono,False,N/A,N/A
vclCloseRangeCliquesPrepTracking,Mono,False,N/A,N/A
vclCliquesCalculateOcclusions,Mono,False,N/A,N/A
vclCliquesPrepareTracking,Mono,False,N/A,N/A
beforeDXDYTracking,Mono,False,N/A,N/A
afterDXDYTracking,Mono,False,N/A,N/A
finishVehiclesCliqueTracking,Mono,False,N/A,N/A
vclCliquesPostTracking,Mono,False,N/A,N/A
clearObjFOE_VCL,Mono,False,N/A,N/A
trackingVehiclePartsPrepare,Mono,False,N/A,N/A
trackingVehiclePartsPost,Mono,False,N/A,N/A
vclCloseRangeCliquesPostTracking,Mono,False,N/A,N/A
roadUpdateHorizon,Mono,False,road,12
VD3DDetection_MF_calcMovingNotMovingClassification,Mono,False,N/A,N/A
VD3DCamerasUpdateEM,Mono,False,N/A,N/A
initRadarFrame,Mono,False,N/A,N/A
VD3DDetection_UpdateWMEgoMotion,Mono,False,N/A,N/A
VD3DStartFrame,Mono,False,N/A,N/A
VD3DVclsStatePredict,Mono,False,N/A,N/A
VD3DVclsSetKalmanPredictedMotionAndOtherVclDataToMultiframe,Mono,False,N/A,N/A
VD3DRelevancy,Mono,False,N/A,N/A
VD3DDetection_validateIdReplacmentMapping,Mono,False,N/A,N/A
VD3DDetection_MF_advanceMultiFrames,Mono,False,N/A,N/A
VD3DDetection_MF_correctPredictedMotionByKalman,Mono,False,N/A,N/A
VD3DDetection_MF_calculateOcclusions,Mono,False,N/A,N/A
VD3DDetection_MF_pointsTrackingMultiFrames,Mono,False,N/A,N/A
calcPredictionForT0,Mono,True,Pedestrians,15
fillAsilPredictionForT0,Mono,True,Pedestrians,15
SFM2_copyVdpd,Mono,False,N/A,N/A
partialRun_store_36fps,Mono,False,N/A,N/A
partialRun_load_36fps,Mono,False,N/A,N/A
registerFcwValidation_PED_PANICT1,Mono,False,N/A,N/A
prepFcwValidation_PED_PANICT1,Mono,False,N/A,N/A
prepFcwValidationHarris_PED_PANICT1,Mono,False,N/A,N/A
prepPointsTracker_PED_PANICT1,Mono,False,N/A,N/A
trackAndFitModelFcwValidation_PED_PANICT1,Mono,False,N/A,N/A
prepAebRecorderEvents,Mono,False,N/A,N/A
IMG2_pyrs_sync1_gtmc_hist_task,Mono,False,N/A,N/A
IMG2_pyrs_sync2_gtmc_task,Mono,False,N/A,N/A
IMG2_pyrs_sync3_ltm_Tone_map_task,Mono,False,N/A,N/A
IMG2_pyrs_sync4_ltm_task,Mono,False,N/A,N/A
IMG2_pyrs_sync5_rtm_task,Mono,False,N/A,N/A
updateReckoning_C0,Mono,False,N/A,N/A
updateEgoMotionResults,Mono,False,N/A,N/A
updateCommonEgoMotions,Mono,True,TSR,0
TSRMFPredict,Mono,False,TSR,0
TSRSegmentation,Mono,False,TSR,0
updateDriverActivity_VCL_C0,Mono,False,N/A,N/A
updateDriverActivity_VCL_C0,Mono,False,N/A,N/A
hrSpotsInitFrame,Mono,True,hrSpots,10
hrSpotsPrepareBrightSceneHistograms,Mono,True,hrSpots,10
hrSpotsPrepareBrightSceneHistograms,Mono,True,hrSpots,10
hrSpotsInitFrameReport,Mono,True,hrSpots,10
hrSpotsPredictReportModel,Mono,True,hrSpots,10
runRawProcessor,Mono,False,N/A,N/A
runRawProcessor,Mono,False,N/A,N/A
hrSpotsPostRawPredictPosition,Mono,False,hrSpots,10
b2bExportPrepSysImages,Mono,False,N/A,N/A
updateWipersDecisionC0,Mono,False,N/A,N/A
updateEffectiveExposureC0,Mono,False,N/A,N/A
updateNavigation,Mono,False,N/A,N/A
updateNavigation2Model,Mono,False,N/A,N/A
navigationFusionSLIAlgo,Mono,False,N/A,N/A
hrSpotsOnlineCalibrationInitFrame,Mono,True,hrSpots,10
hrSpotsRunOnlineCalibrationCalcCannyEdges,Mono,True,hrSpots,10
hrSpotsAttentionInitFrame,Mono,True,hrSpots,10
hrSpotsFindToneCandidates,Mono,False,hrSpots,10
hrSpotsBuildLightCandidates,Mono,False,hrSpots,10
hrSpotsMergeAndSplitLightCandidates,Mono,False,hrSpots,10
runRawProcessor,Mono,False,N/A,N/A
runRawProcessor,Mono,False,N/A,N/A
hrSpotsPostLightCandidates,Mono,False,hrSpots,10
hrSpotsBuildSpots,Mono,True,hrSpots,10
hrSpotsFilterBadSpots,Mono,True,hrSpots,10
hrSpotsUpdateEgoSpeed,Mono,True,hrSpots,10
hrSpotsCalcSFCheapFeatures,Mono,True,hrSpots,10
hrSpotsFinalizeSpots,Mono,True,hrSpots,10
sfSpotsCNNclassifiersC1,Mono,False,N/A,N/A
hrSpotsPostCalcSFFlatness,Mono,True,hrSpots,10
hrSpotsTrackingInitFrame,Mono,True,hrSpots,10
hrSpotsTrackingComputeSearchRectForMFSpots,Mono,True,hrSpots,10
hrSpotsTrackingBeforePitch,Mono,True,hrSpots,10
hrSpotsTrackingCalcPitch,Mono,True,hrSpots,10
hrSpotsTrackingAfterPitch,Mono,True,hrSpots,10
hrSpotsClusterSpots,Mono,True,hrSpots,10
hrSpotsCalcSFRedness,Mono,True,hrSpots,10
hrSpotsTrackingMatch,Mono,True,hrSpots,10
hrSpotsUpdateSLDistanceClassificationData,Mono,True,hrSpots,10
hrSpotsMatchTFL,Mono,True,hrSpots,10
hrSpotsCalcFeatures,Mono,True,hrSpots,10
hrSpotsXYClassifyC1,Mono,False,hrSpots,10
hrSpotsCollectClassifierFeatures,Mono,True,hrSpots,10
hrSpotsDecisionClassifySpotsC1,Mono,False,hrSpots,10
hrSpotsClassifySpots,Mono,True,hrSpots,10
hrSpotsSpotsLines,Mono,True,hrSpots,10
hrSpotsRemoveCouplesWithDeadSpots,Mono,True,hrSpots,10
hrSpotsUpdateSingleSpotSceneData,Mono,True,hrSpots,10
hrSpotsCouplesInitFrame,Mono,True,hrSpots,10
hrSpotsCouplesCandidates,Mono,True,hrSpots,10
hrSpotsClearancesCandidates,Mono,True,hrSpots,10
hrSpotsMergeSFcouplesAndClearances,Mono,True,hrSpots,10
couplesCNNclassifiers,Mono,True,hrSpots,10
hrSpotsPrepareOncomingReflections,Mono,True,hrSpots,10
hrSpotsRetrieveOncomingReflections,Mono,True,hrSpots,10
hrSpotsPrepShapeLargeRect,Mono,True,hrSpots,10
hrSpotsPrepShapeLargeRect10_10,Mono,True,hrSpots,10
hrSpotsPostShapeLargeRect10_10,Mono,True,hrSpots,10
hrSpotsPrepShapeLargeRect6_6,Mono,True,hrSpots,10
hrSpotsPostShapeLargeRect6_6,Mono,True,hrSpots,10
hrSpotsPrepKoreaReflectorsVhfb8_16,Mono,True,hrSpots,10
hrSpotsPostKoreaReflectorsVhfb8_16,Mono,True,hrSpots,10
hrSpotsKalmanPred,Mono,True,hrSpots,10
copyWiperDecisionOutput,Mono,False,N/A,N/A
WM_updateCalibrationFast,Mono,False,N/A,N/A
WMSM_fastAgenda,Mono,False,N/A,N/A
WMEM_fastAgenda,Mono,False,N/A,N/A
WMEM_updateRepository_fastAgenda,Mono,False,N/A,N/A
roadUpdateSpeed_C0,Mono,False,road,12
predictRoadDropPoints_C0,Mono,False,N/A,N/A
obsPredictionC0,Mono,False,N/A,N/A
removeInvalidMatchedTargetsFullFrameRateClqs,Mono,False,N/A,N/A
obsDNNAlignmentC0,Mono,False,N/A,N/A
fillObsPredictionOutputC0,Mono,False,N/A,N/A
roadUpdateFAMasksC0,Mono,False,road,12
addRoadDropPoints_C0,Mono,False,N/A,N/A
WM_calcVRMFast,Mono,False,VRM,16
WM_updateVRMFast,Mono,False,VRM,16
VD3DFAsetEgoMotionC0,Mono,False,N/A,N/A
VD3DFAPredictC0,Mono,False,N/A,N/A
VD3DFAFillObsC0,Mono,False,N/A,N/A
roadUpdateFAVd3dBoxesC0,Mono,False,road,12
hrSpotsUpdateApprovedVdObjects,Mono,True,hrSpots,10
hrSpotsPublishReport,Mono,True,hrSpots,10
hrSpotsGetVD3Data,Mono,False,hrSpots,10
hrSpotsUpdateSpotVdId,Mono,True,hrSpots,10
WMEM_fastAgendaData,Mono,False,N/A,N/A
SLIPredictReport,Mono,False,N/A,N/A
SLIPublishReport,Mono,False,N/A,N/A
hrSpotsPublishReportStrongRefs,Mono,True,hrSpots,10
hrSpotsGetTSRData,Mono,False,TSR,0
hrSpotsUpdateBlinkingObjectsScene,Mono,True,hrSpots,10
hrSpotsMatchTSR,Mono,True,hrSpots,10
hrSpotsUpdateRedPolesScene,Mono,True,hrSpots,10
hrSpotsUpdateKalmanSL,Mono,True,hrSpots,10
hrSpotsFindStreetLights,Mono,True,hrSpots,10
hrSpotsDecideSingleSpotScene,Mono,True,hrSpots,10
hrSpotsDarkSceneClassifiers,Mono,True,hrSpots,10
SLIDSIFReport,Mono,False,N/A,N/A
MEMemSendEhOutput,Mono,False,MEMem,11
MEMemDecodeTile,Mono,False,MEMem,11
MEMemCommunicateTTP,Mono,False,MEMem,11
MEMemCommunicateCacheApp,Mono,False,MEMem,11
HPP_MAIN_processFrame,Mono,False,N/A,N/A
roadHandleImageC0,Mono,False,road,12
roadUpdateNets_C0,Mono,False,road,12
UpdateHrvReporterT0,Mono,False,N/A,N/A
UpdateHrvImageDumpRequestT0,Mono,False,N/A,N/A
MEMemInitFrame,Mono,False,MEMem,11
REFS_processFrame_REGULAR_sync1_refsWaitT0Report,Mono,False,N/A,N/A
REFS_processFrame_NSS_REGULAR,Mono,False,N/A,N/A
hrSpotsGetREData,Mono,True,hrSpots,10
REHL_initFrame,Mono,False,N/A,N/A
REFS_processFrameAll,Mono,False,N/A,N/A
REFS_processFrameLm2_REGULAR_sync1_refsWaitT0Report,Mono,False,N/A,N/A
REFS_processFrameAllLm2,Mono,False,N/A,N/A
REFS_dump_REGULAR,Mono,False,N/A,N/A
NNFS_processFrame_cam_REGULAR_sync1_waitT0Report,Mono,False,N/A,N/A
roadUpdateNets_Slow,Mono,False,road,12
maSSk_startFrameFS,Mono,False,N/A,N/A
maSSk_startFrameEnds,Mono,False,N/A,N/A
maSSk_endFrameFS,Mono,False,N/A,N/A
WMEM_calcEgoMotion_late,Mono,False,N/A,N/A
WM_calcVRM_COMMON,Mono,False,VRM,16
WM_calcVRM_COMMON_sync1_wm_rm_startRoadSegment_si0,Mono,False,VRM,16
WM_calcVRM_COMMON_sync2_wm_rm_startRoadSegment_si1,Mono,False,VRM,16
